transaction_id,account_id,transaction_date,transaction_type,transaction_amount,account_balance_after_transaction,branch_id,anomaly
192,44,2025-01-13 11:36:00,Purchase,203.53,8693.71,2,False
193,112,2026-03-05 04:18:00,Transfer,144.38,73998.41,4,False
194,28,2026-07-28 21:46:00,Withdrawal,533.54,35834.61,4,False
195,100,2026-04-25 11:23:00,Deposit,707.14,68120.97,9,False
196,162,2025-06-02 08:47:00,Purchase,217.58,7316.49,4,False
197,154,2025-02-23 20:29:00,Transfer,325.51,26423.32,6,False
198,140,2026-03-17 16:56:00,Transfer,534.11,55328.84,5,False
199,20,2026-01-19 07:28:00,Transfer,602.9,68789.61,1,False
200,2,2025-05-23 09:02:00,Withdrawal,900.54,68466.46,11,False
201,255,2025-10-14 03:05:00,Transfer,788.41,98926.02,1,False
202,162,2025-01-14 03:31:00,Purchase,344.76,7353.34,12,False
203,19,2025-04-06 08:16:00,Withdrawal,171.45,3101.16,11,False
204,209,2025-09-23 03:26:00,Transfer,1250.41,22646.29,4,False
205,223,2025-11-04 17:40:00,Transfer,716.64,22554.75,8,False
206,94,2026-08-19 11:58:00,Withdrawal,1639.25,84756.97,3,False
207,223,2025-12-07 09:15:00,Transfer,282.31,21868.64,8,False
208,198,2025-03-03 08:58:00,Deposit,272.95,11514.97,8,False
209,232,2025-12-22 03:22:00,Purchase,772.52,73450.34,8,False
210,91,2026-04-29 14:33:00,Withdrawal,1041.32,46907.9,4,False
211,76,2025-06-04 23:26:00,Withdrawal,122.08,24556.6,6,False
212,14,2026-06-22 09:30:00,Transfer,2273.63,23980.13,12,False
213,97,2026-01-13 11:56:00,Transfer,343.02,46814.51,6,False
214,170,2025-02-17 05:48:00,Transfer,134.46,60552.91,8,False
215,231,2026-01-27 10:25:00,Withdrawal,1135.1,82583.13,3,False
216,182,2026-03-20 22:29:00,Transfer,90.25,13812.89,8,False
217,12,2025-03-10 04:53:00,Withdrawal,1394.21,70053.33,10,False
218,99,2025-07-23 10:06:00,Deposit,601.12,77748.15,12,False
219,197,2025-12-04 20:48:00,Purchase,56.7,39140.9,8,False
220,193,2026-07-26 02:46:00,Purchase,765.37,90296.41,3,False
221,239,2026-09-01 18:13:00,Purchase,901.09,7917.43,4,False
222,21,2026-01-19 14:06:00,Deposit,696.79,46470.43,7,False
223,59,2025-02-18 01:24:00,Deposit,193.78,6375.52,5,False
224,161,2025-12-14 02:52:00,Transfer,1048.99,26002.93,1,False
225,68,2025-09-13 04:21:00,Deposit,53.77,96458.67,5,False
226,9,2026-04-28 08:01:00,Deposit,732.94,3326.59,3,False
227,164,2026-04-09 04:13:00,Deposit,221.39,75147.76,7,False
228,10,2025-03-20 06:17:00,Purchase,308.39,92725.81,6,False
229,222,2026-06-14 16:57:00,Withdrawal,291.27,62666.69,8,False
230,225,2026-06-11 00:22:00,Deposit,471.9,74678.77,1,False
231,25,2025-07-22 09:38:00,Deposit,2276.41,45352.48,6,False
232,216,2025-04-30 11:06:00,Deposit,36262.8,79820.32,2,True
233,200,2025-06-03 09:12:00,Deposit,2447.41,71600.05,4,False
234,244,2025-02-03 21:35:00,Deposit,601.15,8797.76,8,False
235,88,2026-06-14 02:28:00,Deposit,9783.2,35373.97,11,True
236,196,2025-07-20 14:53:00,Deposit,2778.09,2711.87,9,False
237,161,2025-08-09 00:16:00,Transfer,593.61,27055.39,3,False
238,70,2026-03-12 23:17:00,Purchase,1828.92,13479.47,8,False
239,27,2025-11-11 06:22:00,Withdrawal,451.65,41328.55,3,False
240,9,2026-07-12 00:04:00,Purchase,1075.23,3513.71,1,False
241,4,2026-03-23 23:22:00,Transfer,1035.26,13748.5,1,False
242,263,2026-05-30 12:18:00,Transfer,129.86,71176.97,7,False
243,122,2025-11-17 05:47:00,Transfer,111.68,36784.7,9,False
244,140,2025-03-01 15:14:00,Deposit,298.43,55227.85,7,False
245,216,2026-04-23 21:23:00,Transfer,1429.55,84148.09,7,False
246,50,2026-05-24 21:25:00,Withdrawal,1208.05,98090.91,8,False
247,193,2025-08-23 22:46:00,Purchase,3990.03,89784.4,2,False
248,76,2026-01-22 04:58:00,Withdrawal,480.79,24226.73,11,False
249,250,2025-12-19 04:08:00,Purchase,2003.07,90031.2,8,False
250,66,2026-07-24 16:16:00,Transfer,63.37,68343.91,5,False
251,173,2025-09-30 14:06:00,Purchase,127.97,91504.52,8,False
252,123,2026-01-20 00:28:00,Transfer,1666.9,87014.81,3,False
253,46,2025-05-30 00:33:00,Purchase,1109.55,53481.21,4,False
254,68,2025-08-27 02:39:00,Deposit,1305.65,96799.7,5,False
255,22,2025-04-07 17:30:00,Withdrawal,10484.76,36000.12,11,True
256,147,2026-08-20 05:44:00,Transfer,1202.99,54588.1,9,False
257,239,2026-03-21 14:27:00,Transfer,316.55,7728.23,2,False
258,201,2025-10-11 17:57:00,Deposit,986.69,58314.51,8,False
259,11,2025-02-20 11:38:00,Transfer,3089.29,45731.04,9,False
260,189,2025-06-09 18:21:00,Withdrawal,1364.8,9920.56,6,False
261,108,2026-04-10 08:04:00,Transfer,587.99,26031.9,3,False
262,125,2025-08-30 05:01:00,Deposit,127.25,4013.22,7,False
263,130,2025-09-24 14:11:00,Deposit,520.83,60621.95,12,False
264,15,2026-01-25 00:34:00,Purchase,270.63,69345.14,10,False
265,117,2025-05-16 10:47:00,Transfer,627.7,66080.67,5,False
266,242,2026-06-13 07:57:00,Withdrawal,148.34,45948.42,8,False
267,225,2026-01-27 18:23:00,Transfer,1456.64,74586.64,12,False
268,107,2025-12-19 22:04:00,Deposit,1006.2,44499.27,12,False
269,13,2026-06-11 18:20:00,Deposit,691.3,74646.57,6,False
270,210,2025-02-13 11:11:00,Transfer,411.6,46441.03,1,False
271,79,2026-02-22 21:45:00,Withdrawal,278.25,11917.92,2,False
272,154,2026-08-16 11:00:00,Withdrawal,275.0,26391.78,4,False
273,99,2025-01-28 23:49:00,Transfer,985.06,77329.87,9,False
274,107,2025-06-30 13:46:00,Deposit,1101.56,43874.84,10,False
275,256,2025-09-03 14:38:00,Purchase,121.89,22603.8,2,False
276,250,2025-02-09 13:22:00,Deposit,917.4,90245.34,10,False
277,54,2025-12-03 20:32:00,Deposit,853.8,76098.04,4,False
278,249,2025-12-13 13:29:00,Transfer,1135.66,19559.63,8,False
279,144,2025-02-01 15:06:00,Purchase,2041.51,94973.54,4,False
280,64,2025-04-24 09:43:00,Purchase,339.24,60684.56,12,False
281,218,2025-05-08 20:58:00,Deposit,1091.35,90323.55,8,False
282,42,2025-12-17 06:11:00,Transfer,942.08,54696.08,5,False
283,156,2025-11-24 15:32:00,Deposit,1070.15,69033.77,3,False
284,239,2025-06-13 03:33:00,Withdrawal,231.07,7431.82,7,False
285,37,2026-01-13 01:49:00,Deposit,113.51,77722.64,10,False
286,217,2026-01-08 09:03:00,Deposit,946.67,53804.87,11,False
287,59,2025-07-04 23:22:00,Purchase,953.19,6698.36,1,False
288,18,2025-04-01 05:21:00,Transfer,331.23,51955.09,11,False
289,5,2026-06-06 10:53:00,Deposit,168.41,42884.84,12,False
290,16,2025-07-09 03:04:00,Deposit,945.06,47792.75,7,False
291,119,2025-11-21 11:23:00,Deposit,383.35,94985.93,11,False
292,26,2025-07-08 10:20:00,Withdrawal,1459.24,48673.93,12,False
293,188,2025-05-30 09:22:00,Deposit,248.03,4834.65,6,False
294,177,2025-08-31 03:14:00,Purchase,696.51,81579.77,10,False
295,262,2026-03-19 02:09:00,Purchase,84.59,60330.03,7,False
296,63,2026-01-08 18:26:00,Purchase,206.68,11326.63,5,False
297,62,2025-07-17 09:02:00,Purchase,491.36,93859.99,1,False
298,44,2025-03-08 13:40:00,Withdrawal,764.34,8621.61,1,False
299,191,2025-01-04 04:20:00,Transfer,354.88,18995.33,6,False
300,139,2025-02-12 21:20:00,Withdrawal,281.63,88865.07,4,False
301,123,2026-01-01 11:34:00,Transfer,361.37,87901.36,6,False
302,164,2025-11-30 15:16:00,Transfer,1414.58,74520.86,6,False
303,201,2026-05-03 03:53:00,Purchase,279.72,58336.56,6,False
304,93,2026-05-18 03:29:00,Withdrawal,2549.48,26045.23,2,False
305,137,2025-12-19 15:30:00,Deposit,1793.2,77860.87,11,False
306,19,2025-05-10 23:40:00,Purchase,512.61,3066.59,1,False
307,177,2025-05-24 17:03:00,Purchase,148.74,81268.81,5,False
308,149,2025-03-22 20:13:00,Withdrawal,1172.94,34694.41,5,False
309,108,2025-06-07 18:13:00,Withdrawal,659.21,26053.04,3,False
310,254,2026-07-14 19:20:00,Purchase,177.45,18193.16,1,False
311,134,2026-08-07 23:28:00,Purchase,405.97,4490.49,6,False
312,232,2025-01-25 00:13:00,Withdrawal,1099.03,74104.89,2,False
313,18,2026-05-03 04:23:00,Purchase,115.27,52312.07,2,False
314,10,2026-03-03 07:05:00,Deposit,242.69,92854.16,5,False
315,136,2025-06-21 20:14:00,Deposit,3388.03,57632.38,2,False
316,248,2025-03-16 17:27:00,Purchase,1357.89,21371.24,12,False
317,29,2025-10-24 19:40:00,Deposit,320.21,57421.47,6,False
318,28,2026-01-29 02:02:00,Purchase,691.43,34956.73,11,False
319,251,2025-05-20 04:09:00,Deposit,403.29,78060.62,2,False
320,121,2026-08-04 21:13:00,Deposit,407.45,11551.74,4,False
321,194,2026-01-07 17:39:00,Purchase,279.24,63942.3,11,False
322,103,2025-01-03 19:54:00,Deposit,2906.32,74644.88,8,False
323,8,2025-02-03 22:36:00,Purchase,540.84,71153.29,9,False
324,50,2026-03-31 11:59:00,Withdrawal,1229.25,98305.92,8,False
325,7,2025-10-04 09:34:00,Purchase,1258.08,89176.11,9,False
326,8,2026-07-16 07:21:00,Transfer,131.55,71511.0,11,False
327,197,2026-01-19 06:27:00,Withdrawal,1076.96,39880.97,8,False
328,34,2025-01-07 18:43:00,Withdrawal,1086.02,30277.21,2,False
329,136,2025-05-29 10:49:00,Purchase,1553.0,62337.05,6,False
330,233,2026-08-24 17:03:00,Withdrawal,208.57,96131.93,12,False
331,122,2025-07-06 19:32:00,Transfer,336.25,37022.65,1,False
332,101,2026-02-14 04:50:00,Deposit,288.08,66988.64,8,False
333,113,2026-06-03 22:27:00,Deposit,2050.58,23411.43,3,False
334,150,2025-01-29 03:33:00,Deposit,622.74,40037.63,2,False
335,210,2026-04-12 20:45:00,Transfer,92.35,46879.11,3,False
336,95,2025-05-01 07:24:00,Deposit,1213.57,64288.45,9,False
337,161,2026-06-05 01:49:00,Withdrawal,4742.24,22365.99,2,True
338,146,2025-10-06 09:41:00,Withdrawal,751.48,64863.88,1,False
339,220,2025-06-02 01:08:00,Transfer,307.4,61872.0,7,False
340,113,2025-02-19 22:05:00,Purchase,194.44,22383.12,9,False
341,258,2025-11-26 23:52:00,Transfer,654.55,54507.66,2,False
342,255,2026-03-31 04:52:00,Purchase,68.94,99563.91,10,False
343,1,2026-09-01 07:54:00,Purchase,95.77,75174.01,1,False
344,157,2025-02-01 14:40:00,Transfer,230.3,83234.26,2,False
345,111,2025-05-19 11:56:00,Transfer,1239.58,73305.56,10,False
346,244,2026-04-10 06:15:00,Deposit,440.16,9626.16,7,False
347,233,2026-01-14 21:01:00,Withdrawal,721.6,95562.25,7,False
348,163,2025-02-10 22:00:00,Deposit,133.55,44748.06,5,False
349,99,2026-05-20 11:50:00,Purchase,3223.86,78454.25,6,False
350,72,2025-05-07 05:49:00,Deposit,886.58,28197.39,11,False
351,98,2026-01-18 02:34:00,Deposit,27.34,56145.48,4,False
352,119,2025-06-13 04:53:00,Withdrawal,65.06,95074.7,9,False
353,238,2025-07-24 13:05:00,Transfer,1588.21,35174.97,12,False
354,263,2026-08-21 03:28:00,Transfer,269.05,71192.3,1,False
355,27,2025-08-02 15:03:00,Purchase,301.63,41390.4,12,False
356,55,2025-01-26 16:14:00,Transfer,312.5,27014.2,7,False
357,218,2026-01-08 19:53:00,Deposit,27494.04,115219.97,1,True
358,269,2026-04-27 19:14:00,Transfer,467.98,16869.8,12,False
359,207,2025-10-06 17:29:00,Withdrawal,1279.21,82382.05,1,False
360,268,2025-11-04 07:33:00,Withdrawal,130.82,42537.85,2,False
361,103,2026-06-19 04:27:00,Purchase,34.79,74748.95,3,False
362,14,2026-04-19 21:01:00,Deposit,290.77,24948.56,10,False
363,213,2026-07-11 07:55:00,Deposit,2149.81,60741.68,4,False
364,168,2025-07-20 13:57:00,Purchase,132.22,91443.28,1,False
365,134,2026-08-15 16:20:00,Deposit,399.63,4528.51,7,False
366,259,2025-04-24 15:38:00,Withdrawal,374.37,17391.85,4,False
367,57,2025-03-31 01:17:00,Withdrawal,545.33,29176.09,10,False
368,183,2025-10-08 03:32:00,Transfer,54.98,21714.28,5,False
369,119,2026-01-13 09:51:00,Withdrawal,127.25,95136.0,11,False
370,12,2025-03-09 05:55:00,Withdrawal,119.66,69132.27,12,False
371,127,2026-01-14 02:24:00,Deposit,4874.45,73852.66,7,False
372,120,2025-07-19 13:21:00,Purchase,2525.48,43240.05,4,False
373,94,2025-02-27 14:27:00,Withdrawal,109.63,84197.88,4,False
374,33,2025-12-05 08:50:00,Deposit,3809.42,68499.21,7,False
375,236,2026-02-18 11:04:00,Withdrawal,188.29,76434.94,12,False
376,19,2026-01-02 16:34:00,Transfer,3327.54,4905.73,7,False
377,199,2026-03-04 12:14:00,Deposit,1660.74,55078.0,10,False
378,17,2026-05-10 01:19:00,Deposit,318.59,50772.1,9,False
379,115,2026-01-12 00:33:00,Purchase,1001.14,48500.94,11,False
380,26,2025-05-20 13:09:00,Deposit,1073.62,49025.59,8,False
381,155,2026-01-04 01:19:00,Withdrawal,407.33,22536.59,7,False
382,142,2025-12-29 19:39:00,Purchase,211.2,19445.6,6,False
383,269,2025-10-08 18:21:00,Withdrawal,1995.72,18329.91,3,False
384,96,2026-03-09 16:12:00,Transfer,1579.32,46209.59,8,False
385,185,2026-01-16 05:44:00,Transfer,3328.35,40679.08,5,False
386,184,2025-08-06 22:58:00,Deposit,139.22,87040.59,5,False
387,58,2025-05-30 15:28:00,Transfer,24.07,40259.53,8,False
388,242,2025-05-03 10:24:00,Deposit,173.8,46041.05,4,False
