feedback_id,customer_id,feedback_date,feedback_type,resolution_status,resolution_date
87,189,2026-02-20,Suggestion,Pending,
88,77,2025-01-01,Suggestion,Resolved,2025-01-14
89,193,2025-02-01,Praise,Pending,
90,66,2026-04-01,Suggestion,In Progress,
91,114,2025-12-08,Praise,Resolved,2025-12-14
92,120,2026-07-30,Technical Issue,In Progress,
93,78,2025-08-23,Technical Issue,Pending,
94,146,2025-02-05,Praise,Pending,
95,171,2025-12-10,Technical Issue,Pending,
96,43,2025-03-29,Praise,Resolved,2025-04-07
97,154,2025-11-28,Praise,Resolved,2025-11-29
98,88,2026-01-24,Complaint,In Progress,
99,94,2026-03-03,Suggestion,In Progress,
100,76,2026-05-18,Technical Issue,In Progress,
101,13,2025-11-19,Technical Issue,Resolved,2025-11-28
102,127,2025-02-16,Suggestion,Resolved,2025-02-27
103,92,2026-06-12,Suggestion,In Progress,
104,15,2026-01-05,Complaint,In Progress,
105,109,2026-02-27,Complaint,Resolved,2026-03-05
106,194,2025-03-06,Suggestion,Pending,
107,56,2025-01-23,Complaint,Pending,
108,30,2025-06-25,Suggestion,Pending,
109,188,2025-10-16,Technical Issue,In Progress,
110,116,2026-03-29,Complaint,In Progress,
111,50,2026-08-09,Suggestion,Resolved,2026-08-19
112,28,2026-07-27,Technical Issue,Resolved,2026-07-29
113,179,2026-05-16,Technical Issue,Pending,
114,197,2025-04-15,Suggestion,Resolved,2025-04-16
115,77,2025-12-23,Technical Issue,In Progress,
116,23,2025-06-26,Complaint,In Progress,
117,11,2026-06-19,Technical Issue,Resolved,2026-06-28
118,8,2025-12-19,Suggestion,In Progress,
119,2,2025-08-21,Praise,Resolved,2025-08-25
120,21,2026-03-17,Technical Issue,In Progress,
121,130,2026-05-13,Complaint,In Progress,
122,25,2026-06-17,Praise,Resolved,2026-06-22
123,119,2026-04-14,Complaint,Pending,
124,50,2025-05-10,Technical Issue,Pending,
125,170,2026-05-04,Complaint,Pending,
126,199,2025-09-12,Complaint,In Progress,
127,143,2026-07-16,Technical Issue,In Progress,
128,133,2026-07-15,Complaint,Resolved,2026-07-25
129,91,2025-01-02,Suggestion,In Progress,
130,169,2026-01-04,Complaint,Resolved,2026-01-17
131,165,2025-07-05,Technical Issue,In Progress,
132,162,2025-01-18,Technical Issue,In Progress,
133,84,2025-10-16,Technical Issue,In Progress,
134,48,2026-02-26,Suggestion,Resolved,2026-03-12
135,164,2025-01-31,Suggestion,Pending,
136,28,2025-10-13,Suggestion,Resolved,2025-10-15
137,148,2025-03-07,Suggestion,Pending,
138,167,2025-07-17,Complaint,Pending,
139,104,2025-09-04,Technical Issue,Pending,
140,196,2026-06-03,Complaint,Pending,
141,145,2025-08-20,Complaint,Pending,
142,181,2025-05-31,Praise,Pending,
143,176,2026-07-15,Complaint,Pending,
144,49,2025-07-17,Praise,Resolved,2025-07-20
145,53,2025-07-30,Suggestion,Pending,
146,118,2025-12-23,Technical Issue,In Progress,
147,2,2025-09-06,Suggestion,In Progress,
148,28,2025-05-13,Suggestion,In Progress,
149,182,2026-07-25,Suggestion,In Progress,
150,96,2025-07-04,Technical Issue,Pending,
151,96,2025-05-24,Praise,In Progress,
152,74,2025-07-09,Suggestion,Resolved,2025-07-18
153,50,2026-06-28,Praise,In Progress,
154,179,2025-03-17,Complaint,Resolved,2025-03-21
155,69,2025-03-31,Complaint,Resolved,2025-04-13
156,44,2026-07-05,Suggestion,Resolved,2026-07-10
157,145,2025-05-08,Suggestion,In Progress,
158,26,2025-07-13,Technical Issue,In Progress,
159,85,2026-06-03,Technical Issue,Resolved,2026-06-17
160,148,2026-01-02,Praise,Pending,
