card_id,customer_id,card_type,credit_limit,credit_card_balance,minimum_payment_due,payment_due_date,last_credit_card_payment_date,rewards_points
91,170,Standard,5000,3611.96,180.6,2025-04-27,2025-04-05,10712
92,106,Gold,10000,9122.98,456.15,2026-10-24,2026-09-20,11401
93,27,Platinum,50000,28299.47,1414.97,2026-08-02,2026-06-18,1985
94,35,Platinum,5000,2035.73,101.79,2025-01-19,2024-12-10,15200
95,36,Standard,30000,9371.67,468.58,2026-08-24,2026-07-19,7961
96,167,Standard,10000,2666.18,133.31,2026-11-12,2026-09-28,17118
97,6,Standard,15000,12777.75,638.89,2026-03-29,2026-02-26,12527
98,157,Standard,10000,1090.54,54.53,2025-06-12,2025-05-02,6738
99,21,Gold,5000,3828.16,191.41,2026-05-13,2026-04-05,17017
100,88,Platinum,5000,2176.51,108.83,2026-01-18,2025-12-06,1104
101,130,Gold,50000,5236.31,261.82,2025-08-23,2025-08-07,13613
102,4,Platinum,10000,1783.39,89.17,2026-10-03,2026-09-28,844
103,48,Gold,30000,16368.19,818.41,2026-03-16,2026-02-01,7103
104,113,Platinum,20000,13974.74,698.74,2025-02-22,2025-02-12,2434
105,81,Standard,50000,13041.28,652.06,2025-11-11,2025-09-30,6360
106,26,Gold,30000,15.09,50,2025-04-08,2025-03-05,12452
107,16,Platinum,50000,24146.5,1207.33,2026-04-16,2026-03-15,8041
108,83,Platinum,30000,8949.63,447.48,2025-09-18,2025-08-23,6335
109,10,Standard,50000,46572.21,2328.61,2026-04-11,2026-04-03,7916
110,55,Standard,30000,7860.02,393.0,2026-12-24,2026-12-07,4985
111,45,Platinum,20000,11246.44,562.32,2026-09-11,2026-08-14,5089
112,33,Standard,50000,40214.16,2010.71,2026-07-26,2026-07-11,11731
113,147,Standard,50000,708.29,50,2025-01-30,2025-01-08,13629
114,24,Gold,20000,2398.37,119.92,2026-01-24,2026-01-13,5853
115,190,Gold,20000,5997.2,299.86,2026-05-01,2026-04-09,12854
116,64,Standard,50000,11681.7,584.09,2025-02-19,2025-02-15,2379
117,163,Gold,20000,16869.19,843.46,2026-02-02,2026-01-02,10524
118,82,Gold,50000,5302.27,265.11,2026-02-27,2026-02-17,5712
119,128,Standard,30000,21250.54,1062.53,2025-03-29,2025-03-19,9259
120,168,Platinum,5000,1475.37,73.77,2026-07-30,2026-07-18,1264
121,105,Standard,50000,35356.81,1767.84,2025-12-26,2025-11-27,5355
122,136,Standard,20000,1548.38,77.42,2025-03-13,2025-02-16,7785
123,112,Platinum,10000,4188.32,209.42,2026-09-16,2026-08-21,2622
124,59,Platinum,50000,21564.95,1078.25,2026-02-28,2026-02-07,18279
125,38,Gold,20000,12266.31,613.32,2025-03-26,2025-02-20,15536
126,23,Gold,30000,9980.7,499.04,2026-04-18,2026-03-17,2062
127,156,Standard,20000,7108.63,355.43,2026-05-17,2026-04-30,13445
128,114,Standard,5000,4324.58,216.23,2025-08-03,2025-07-01,19164
129,103,Standard,20000,71.13,50,2025-02-19,2025-01-11,7098
130,160,Platinum,15000,9369.12,468.46,2025-02-27,2025-02-17,18112
